 (-8.563010826012784626e-02+8.607481080711985866e-02j), (2.381328252849611027e-01+0.000000000000000000e+00j)
 (-9.084672939226988084e-03-9.239116641282647119e-03j), (2.384707618656080885e-01+0.000000000000000000e+00j)
 (-4.741675144758181019e-03+4.785116762234397844e-03j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-3.234510449576689147e-03+3.271645686527277410e-03j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-2.979058998454827637e-03-3.121062174958946604e-03j), (2.381328252849604921e-01+0.000000000000000000e+00j)
 (-1.846774161523594008e-03-1.889111565933293459e-03j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-1.580497828455942671e-03-1.606490454931971783e-03j), (2.381328252849604921e-01+0.000000000000000000e+00j)
 (-1.402528932600254291e-03-1.420542543090730272e-03j), (2.384707618656093930e-01+0.000000000000000000e+00j)
 (-1.244995135260314276e-03+1.261514099164644633e-03j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-1.200446670010410629e-03-1.214675472050690984e-03j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-9.840293872264741729e-04-0.000000000000000000e+00j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-9.580590915301327943e-04-9.908711857196939032e-04j), (2.377948887043122017e-01+0.000000000000000000e+00j)
 (-9.316219931043285803e-04+9.359256026307346968e-04j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-9.213881683703650490e-04-9.277299941593958321e-04j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-8.653554908178294654e-04+8.737538799593375007e-04j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-8.549400479767731587e-04+8.673703829637181492e-04j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-8.493615681042437438e-04+8.536994617435706518e-04j), (2.384707618656093930e-01+0.000000000000000000e+00j)
 (-7.336630730832044856e-04-7.379470742046602937e-04j), (2.391466350269058905e-01+0.000000000000000000e+00j)
 (-7.207769753855075090e-04-7.377566410690236057e-04j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-6.260970009479197409e-04-6.345029599022250933e-04j), (2.394845716075535980e-01+0.000000000000000000e+00j)
 (-6.114468723463485590e-04+6.265448995732759334e-04j), (2.391466350269046970e-01+0.000000000000000000e+00j)
 (-5.699949952145775146e-04-5.842553479894425960e-04j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-5.183663529036928444e-04-5.223789514971380159e-04j), (2.398225081882018883e-01+0.000000000000000000e+00j)
 (-4.831243438593529698e-04-4.871731967446753806e-04j), (2.398225081882018883e-01+0.000000000000000000e+00j)
 (-4.688624142885689568e-04+4.714496161681875773e-04j), (2.394845716075535980e-01+0.000000000000000000e+00j)
 (-4.481928888323715083e-04+4.794317321554920474e-04j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-4.267648158033720087e-04-4.306196308802696612e-04j), (2.404983813494964984e-01+0.000000000000000000e+00j)
 (-3.905274928108358099e-04+5.138442491776038521e-04j), (2.381328252849604921e-01+0.000000000000000000e+00j)
 (-3.841935398744191626e-04-3.965184145720637991e-04j), (2.388086984462582940e-01+0.000000000000000000e+00j)
 (-3.715110984901045686e-04+3.787657302853473682e-04j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-3.685562194381022103e-04+3.858518748744535249e-04j), (2.384707618656093930e-01+0.000000000000000000e+00j)
 (-3.488751229571072877e-04-3.556130420690706241e-04j), (2.391466350269058905e-01+0.000000000000000000e+00j)
 (-3.299702153023482834e-04+3.401385098195197458e-04j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-2.925520310312527766e-04-2.961545302795354218e-04j), (2.398225081882018883e-01+0.000000000000000000e+00j)
 (-2.894984385541802337e-04+2.981381857328039577e-04j), (2.394845716075529873e-01+0.000000000000000000e+00j)
 (-2.885763993495203271e-04-2.912175527047383954e-04j), (2.404983813494989964e-01+0.000000000000000000e+00j)
 (-2.861153297834997510e-04-2.937851658246078634e-04j), (2.394845716075535980e-01+0.000000000000000000e+00j)
 (-2.859898542401042199e-04-2.880061802748877845e-04j), (2.411742545107949109e-01+0.000000000000000000e+00j)
 (-2.832339879796996556e-04+2.896963078073228558e-04j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-2.791059289091826247e-04+2.832343011655931073e-04j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-2.566154873725634989e-04-2.626431842571218343e-04j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-2.512635223914178257e-04-2.571025591139571107e-04j), (2.398225081882018883e-01+0.000000000000000000e+00j)
