tau [s],AS [V],ASD [V/√Hz],PSD [dB/Hz]
0.0,7732.653662184936,11066.073110469257,19.112242936842804
5.425347222222222e-10,2.30024575842035,3.2918437637014155,-16.153300267645843
1.0850694444444444e-09,94.86461867113916,135.75919104528828,0.0
1.6276041666666667e-09,10.658055130430606,15.252566898933262,-9.494263029486103
2.1701388888888887e-09,83.54467305514312,119.55940358994883,-0.5518550152792714
2.7126736111111112e-09,9.44987266792293,13.5235569050835,-10.01678308656003
3.2552083333333333e-09,21.78928772127997,31.18229025669344,-6.388612316616706
3.797743055555555e-09,8.913212965923492,12.755552057431963,-10.270699819459308
4.3402777777777775e-09,33.33306043241838,47.70239297599746,-4.542290756294273
4.8828125e-09,6.367220044368197,9.11202358202017,-11.731544064347293
5.4253472222222225e-09,10.32763515835473,14.779708326974706,-9.631033779917122
5.9678819444444446e-09,7.557924637991395,10.81602128599632,-10.98701708173653
6.510416666666667e-09,17.573328955698535,25.148901206980682,-7.322502266337468
7.052951388888889e-09,4.721534788720054,6.756910557253215,-13.030210713571037
7.59548611111111e-09,0.6746868595157707,0.965533236097993,-21.48002013578168
8.138020833333334e-09,5.764893057824076,8.250043366599206,-12.163130100284302
8.680555555555555e-09,12.585148977476647,18.01039911718384,-8.772459044118605
9.223090277777778e-09,5.264771152469226,7.534327157056704,-12.557247671679503
9.765625e-09,0.8979564252545927,1.285050628929266,-20.23849002957349
1.0308159722222222e-08,3.924755461649134,5.6166528046790605,-13.83291662822868
1.0850694444444445e-08,6.669934735413106,9.545233583277298,-11.529826809013585
1.1393229166666666e-08,4.4556453191878305,6.3764005230929515,-13.281936527290854
1.1935763888888889e-08,1.0902320770105858,1.5602131426857315,-19.395853095418286
1.247829861111111e-08,4.088393245915853,5.850832138636071,-13.655516031589698
1.3020833333333333e-08,3.017558898860427,4.31837876733525,-14.97448509593717
1.3563368055555556e-08,3.7947158484021033,5.43055525908665,-13.979250042109904
1.4105902777777777e-08,0.377005485047373,0.5395263311719722,-24.00756596518445
1.46484375e-08,3.997034572192383,5.720090247576934,-13.753663606250779
1.519097222222222e-08,1.5998551029755288,2.2895262492180537,-17.730236144257805
1.5733506944444445e-08,3.8029318025760164,5.442312975587701,-13.969857279728544
1.6276041666666667e-08,0.9398573648742935,1.3450143724881558,-20.040423163405137
1.681857638888889e-08,2.914944929854284,4.171529608846423,-15.124739109830795
1.736111111111111e-08,0.8341781831662609,1.1937786386604994,-20.558454380572584
1.7903645833333333e-08,4.25068218371839,6.083081160666604,-13.486456305935882
1.8446180555555556e-08,1.3197190973869362,1.8886282322955867,-18.566227639851547
1.898871527777778e-08,2.8340799783634076,4.055805110586696,-15.246921633437175
1.953125e-08,1.0389106585396568,1.4867679072279967,-19.605260634468088
2.007378472222222e-08,3.305565375160326,4.730540085073974,-14.578585145598959
2.0616319444444444e-08,1.4648046418137113,2.096257761825721,-18.113245577844566
2.1158854166666667e-08,3.4842465125012136,4.986247713484342,-14.349953913003064
2.170138888888889e-08,1.297815367444192,1.8572821656634115,-18.63891352976066
2.224392361111111e-08,3.441325361095273,4.924823961665946,-14.403785302556711
2.2786458333333332e-08,1.5347734904920356,2.196389027075084,-17.91059976112335
2.3328993055555555e-08,3.634108902021541,5.200713307236665,-14.16706327802347
2.3871527777777778e-08,1.1656914242045298,1.6682017697983182,-19.10520663863274
2.44140625e-08,2.6321524534674983,3.7668299603815543,-15.56793225439993
2.495659722222222e-08,1.355168527731562,1.939359327344692,-18.451109582126435
